run_accession,experiment_accession,sample_accession,biosample_accession,library_accession,series_accession,study_accession,project_accession,sex,assay,suspension_type
ERR3804226,ERX3806116,ERS4228631,SAMEA6463126,,,ERP119282,PRJEB36131,female,10x 5' v1,cell
ERR3804234,ERX3806124,ERS4228639,SAMEA6463134,,,ERP119282,PRJEB36131,female,10x 5' v1,cell
ERR7441164,ERX3984858,ERS4605099,SAMEA6877913,,,ERP120466,PRJEB37165,female,10x 3' v2,cell
SRR24975533,SRX20732911,SRS18023750,SAMN35813586,GSM7500409,"GSE235326,GSE195665",SRP445031,PRJNA985695,female,10x 3' v3,cell
SRR24975532,SRX20732911,SRS18023750,SAMN35813586,GSM7500409,"GSE235326,GSE195665",SRP445031,PRJNA985695,female,10x 3' v3,cell
SRR11470718,SRX8047154,SRS6418593,SAMN14525756,GSM4451271 ,GSE147979,SRP255012,PRJNA622707,female,10x 3' v2,cell
ERR3804204,ERX3806094,ERS4228609,SAMEA6463104,,,ERP119282,PRJEB36131,male,10x 5' v1,cell
ERR3804218,ERX3806108,ERS4228623,SAMEA6463118,,,ERP119282,PRJEB36131,male,10x 5' v1,cell
ERR3804221,ERX3806111,ERS4228626,SAMEA6463121,,,ERP119282,PRJEB36131,male,10x 5' v1,cell
ERR3804222,ERX3806112,ERS4228627,SAMEA6463122,,,ERP119282,PRJEB36131,male,10x 5' v1,cell
ERR3804229,ERX3806119,ERS4228634,SAMEA6463129,,,ERP119282,PRJEB36131,male,10x 5' v1,cell
ERR3804230,ERX3806120,ERS4228635,SAMEA6463130,,,ERP119282,PRJEB36131,male,10x 5' v1,cell
ERR3804235,ERX3806125,ERS4228640,SAMEA6463135,,,ERP119282,PRJEB36131,male,10x 5' v1,cell
ERR3804255,ERX3806145,ERS4228660,SAMEA6463155,,,ERP119282,PRJEB36131,male,10x 5' v1,cell
SRR33534016,SRX28768364,SRS25008242,SAMN48444346,GSM9031553,GSE299043,SRP559768,PRJNA1215450,male,10x 5' v2,cell
SRR33534011,SRX28768369,SRS25008248,SAMN48444354,GSM9031561,GSE299043,SRP559768,PRJNA1215450,male,10x 5' v2,cell
SRR33534009,SRX28768371,SRS25008250,SAMN48444356,GSM9031563,GSE299043,SRP559768,PRJNA1215450,male,10x 5' v2,cell
SRR33534729,SRX28769165,SRS25009042,SAMN48444866,GSM9031691,GSE299043,SRP559768,PRJNA1215450,male,10x 5' v2,cell
SRR33534819,SRX28769249,SRS25009125,SAMN48444796,GSM9031663,GSE299043,SRP559768,PRJNA1215450,male,10x 5' v2,cell
SRR33681852,SRX28908215,SRS25133587,SAMN48707199,GSM9031745,GSE299043,SRP559768,PRJNA1215450,male,10x 5' v2,cell
SRR33681851,SRX28908216,SRS25133586,SAMN48707202,GSM9031748,GSE299043,SRP559768,PRJNA1215450,male,10x 5' v2,cell
SRR33681850,SRX28908217,SRS25133588,SAMN48707204,GSM9031750,GSE299043,SRP559768,PRJNA1215450,male,10x 5' v2,cell
SRR33682071,SRX28908344,SRS25133716,SAMN48707271,GSM9031786,GSE299043,SRP559768,PRJNA1215450,male,10x 5' v2,cell
SRR33682042,SRX28908373,SRS25133745,SAMN48707399,GSM9031848,GSE299043,SRP559768,PRJNA1215450,male,10x 5' v2,cell
SRR33682097,SRX28908460,SRS25133830,SAMN48707203,GSM9031749,GSE299043,SRP559768,PRJNA1215450,male,10x 5' v2,cell
ERR6449748,ERX4319157,ERS5009223,SAMEA7249695,,,ERP123138,PRJEB39602,female,10x 3' v2,nucleus
ERR7423235,ERX4319157,ERS5009223,SAMEA7249695,,,ERP123138,PRJEB39602,female,10x 3' v2,nucleus
ERR6449774,ERX4319198,ERS5009323,SAMEA7249829,,,ERP123138,PRJEB39602,female,10x 3' v2,nucleus
ERR7423261,ERX4319198,ERS5009323,SAMEA7249829,,,ERP123138,PRJEB39602,female,10x 3' v2,nucleus
